Instances,model,batchsize,datasize,totaldata,total_latency_second,one_epoch_average_second,clocks_current_graphicsMHz_mean,clocks_current_graphicsMHz_std,clocks_current_graphicsMHz_min,clocks_current_graphicsMHz_25,clocks_current_graphicsMHz_50,clocks_current_graphicsMHz_75,clocks_current_graphicsMHz_max,clocks_current_smMHz_mean,clocks_current_smMHz_std,clocks_current_smMHz_min,clocks_current_smMHz_25,clocks_current_smMHz_50,clocks_current_smMHz_75,clocks_current_smMHz_max,memory_freeMiB_mean,memory_freeMiB_std,memory_freeMiB_min,memory_freeMiB_25,memory_freeMiB_50,memory_freeMiB_75,memory_freeMiB_max,memory_totalMiB_mean,memory_totalMiB_std,memory_totalMiB_min,memory_totalMiB_25,memory_totalMiB_50,memory_totalMiB_75,memory_totalMiB_max,memory_usedMiB_mean,memory_usedMiB_std,memory_usedMiB_min,memory_usedMiB_25,memory_usedMiB_50,memory_usedMiB_75,memory_usedMiB_max,power_drawW_mean,power_drawW_std,power_drawW_min,power_drawW_25,power_drawW_50,power_drawW_75,power_drawW_max,temperature_gpu_mean,temperature_gpu_std,temperature_gpu_min,temperature_gpu_25,temperature_gpu_50,temperature_gpu_75,temperature_gpu_max,utilization_gpu_mean,utilization_gpu_std,utilization_gpu_min,utilization_gpu_25,utilization_gpu_50,utilization_gpu_75,utilization_gpu_max,utilization_memory_mean,utilization_memory_std,utilization_memory_min,utilization_memory_25,utilization_memory_50,utilization_memory_75,utilization_memory_max,clocks_throttle_reasons_sw_power_cap_Active,clocks_throttle_reasons_sw_power_cap_NotActive,clocks_throttle_reasons_active_0x0000000000000000,clocks_throttle_reasons_active_0x0000000000000001,clocks_throttle_reasons_active_0x0000000000000004
p100,InceptionResNetV2,64,224,2000,211.237,21.1237,1327.1043841336118,10.980427000530677,1189.0,1328.0,1328.0,1328.0,1328.0,1327.1043841336118,10.980427000530677,1189.0,1328.0,1328.0,1328.0,1328.0,223.07828810020882,80.62575198681019,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16056.921711899793,80.62575198681019,15781.0,16081.0,16081.0,16081.0,16081.0,181.83951983298542,54.17988512777243,35.41,179.88,203.18,214.5425,247.08,62.47599164926931,5.961140287989329,48.0,58.0,64.0,68.0,70.0,84.70772442588726,29.71822699994236,0.0,91.0,98.0,98.0,99.0,35.092901878914404,13.482015163920579,0.0,32.0,38.0,44.0,49.0,1,1915,1915,0,1
p100,InceptionResNetV2,16,256,2000,339.903,33.990300000000005,1326.8062540296582,9.322495335210203,1189.0,1328.0,1328.0,1328.0,1328.0,1326.8062540296582,9.322495335210203,1189.0,1328.0,1328.0,1328.0,1328.0,213.2121212121212,63.05483663580059,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16066.787878787878,63.05483663580061,15781.0,16081.0,16081.0,16081.0,16081.0,166.39954223081884,37.50483422500454,35.41,161.18,178.5,186.315,216.47,61.56447453255964,4.398213010134675,48.0,59.0,63.0,65.0,66.0,86.17408123791104,22.311881516319946,0.0,90.25,91.0,93.0,97.0,27.463571889103804,7.383042346707921,0.0,27.0,29.0,31.0,33.0,0,3102,3102,0,0
p100,InceptionResNetV2,16,224,2000,281.29,28.129,1322.9024293110315,26.119760155677554,1189.0,1328.0,1328.0,1328.0,1328.0,1322.9024293110315,26.119760155677554,1189.0,1328.0,1328.0,1328.0,1328.0,216.7252090800478,70.01096782108581,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16063.274790919952,70.0109678210858,15781.0,16081.0,16081.0,16081.0,16081.0,155.4632974910394,38.64261541580763,33.21,150.485,168.36,177.39499999999995,206.45,57.017522899243325,6.1163756744830255,41.0,54.0,59.0,62.0,63.0,82.65949820788529,23.753061207352115,0.0,89.0,90.0,90.0,95.0,24.86778176025488,7.193680924034274,0.0,26.0,27.0,28.0,31.0,0,2511,2511,0,0
p100,InceptionResNetV2,16,128,5000,503.12,50.312,1323.0245560184171,25.80649674137707,1189.0,1328.0,1328.0,1328.0,1328.0,1323.0245560184171,25.80649674137707,1189.0,1328.0,1328.0,1328.0,1328.0,208.6426222319667,52.3829971791732,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16071.357377768034,52.38299717917322,15781.0,16081.0,16081.0,16081.0,16081.0,95.73479719359791,18.62669434208512,33.45,87.22,95.62,107.21,141.65,45.959219469414606,1.1945063229429485,41.0,46.0,46.0,47.0,47.0,55.93225169918878,11.633927111615751,0.0,56.0,59.0,60.0,80.0,9.429291821968867,2.098111442599482,0.0,10.0,10.0,10.0,31.0,0,4561,4561,0,0
p100,InceptionResNetV2,256,128,5000,162.457,16.2457,1327.0539811066126,11.386870719749966,1189.0,1328.0,1328.0,1328.0,1328.0,1327.0539811066126,11.386870719749966,1189.0,1328.0,1328.0,1328.0,1328.0,230.1039136302294,90.41320852822314,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16049.896086369768,90.41320852822314,15781.0,16081.0,16081.0,16081.0,16081.0,171.89425101214576,58.63706061236084,34.67,150.4725,191.64,214.7725,240.53,58.83265856950067,5.069436781443353,47.0,55.0,60.0,63.0,65.0,83.00877192982456,32.66885069164674,0.0,91.0,98.0,99.0,100.0,29.65924426450742,14.604507512119579,0.0,21.0,30.0,43.0,48.0,0,1482,1482,0,0
p100,InceptionResNetV2,32,128,5000,277.903,27.7903,1318.5237341772154,35.006780822878746,1189.0,1328.0,1328.0,1328.0,1328.0,1318.5237341772154,35.006780822878746,1189.0,1328.0,1328.0,1328.0,1328.0,217.28322784810126,71.0386653187223,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16062.716772151896,71.0386653187223,15781.0,16081.0,16081.0,16081.0,16081.0,130.21616693037973,34.954613824284905,33.45,117.245,135.115,155.6,182.35,52.7939082278481,3.1485844073119416,44.0,51.0,54.0,55.0,57.0,74.02333860759494,22.66351674614491,0.0,79.0,81.0,83.0,85.0,17.957278481012658,5.608003004213784,0.0,19.0,20.0,20.0,31.0,0,2528,2528,0,0
p100,InceptionResNetV2,32,256,2000,293.001,29.3001,1325.3993902439024,18.74049194964814,1189.0,1328.0,1328.0,1328.0,1328.0,1325.3993902439024,18.74049194964814,1189.0,1328.0,1328.0,1328.0,1328.0,216.202743902439,69.03264970444702,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16063.797256097561,69.03264970444702,15781.0,16081.0,16081.0,16081.0,16081.0,177.13897865853664,45.80038115079464,33.7,173.6675,193.865,202.80750000000003,241.72,62.02743902439025,6.526874102292496,44.0,59.0,64.0,67.0,69.0,86.94817073170731,25.16220312976777,0.0,91.0,93.0,98.0,98.0,33.61623475609756,11.180263988792431,0.0,30.0,36.0,40.0,46.0,0,2624,2624,0,0
p100,InceptionResNetV2,32,224,2000,233.59400000000002,23.3594,1327.2060065696855,10.409380094469148,1189.0,1328.0,1328.0,1328.0,1328.0,1327.2060065696855,10.409380094469148,1189.0,1328.0,1328.0,1328.0,1328.0,220.47160957297044,76.5269139571329,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16059.528390427029,76.5269139571329,15781.0,16081.0,16081.0,16081.0,16081.0,169.7481745659315,46.63581938659076,34.67,165.305,185.98,197.6,227.76,59.99436884091976,5.430652544078182,46.0,56.0,62.0,65.0,66.0,84.50211168465509,27.008751324725367,0.0,91.0,92.0,97.0,98.0,30.393711872360395,10.36259696407943,0.0,29.0,33.0,36.0,41.0,0,2131,2131,0,0
p100,InceptionResNetV2,128,224,2000,202.503,20.2503,1319.4654800431501,24.325563149007078,1189.0,1328.0,1328.0,1328.0,1328.0,1319.4654800431501,24.325563149007078,1189.0,1328.0,1328.0,1328.0,1328.0,223.89428263214668,81.8115233518777,199.0,199.0,199.0,199.0,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,16056.105717367851,81.8115233518777,15781.0,16081.0,16081.0,16081.0,16081.0,180.89901294498384,55.944610858691576,35.65,175.3325,203.12,214.8,261.98,62.351132686084135,6.143209635057996,47.0,58.0,65.0,67.0,70.0,86.24325782092771,30.317560937508613,0.0,91.0,99.0,99.0,100.0,37.59546925566343,14.698234636365681,0.0,35.0,40.0,47.0,58.0,34,1820,1820,0,34
p100,LeNet5,256,64,5000,4.726,0.4726,1257.4565217391305,69.28931504022798,1189.0,1189.0,1252.5,1328.0,1328.0,1257.4565217391305,69.28931504022798,1189.0,1189.0,1252.5,1328.0,1328.0,283.0869565217391,113.6137366669202,199.0,199.0,199.0,377.5,499.0,16280.0,0.0,16280.0,16280.0,16280.0,16280.0,16280.0,15996.91304347826,113.6137366669202,15781.0,15902.5,16081.0,16081.0,16081.0,52.78760869565218,20.271350027375266,34.67,34.92,40.755,70.515,95.0,47.30434782608695,0.4652151338606118,47.0,47.0,47.0,48.0,48.0,25.847826086956523,23.75052503869181,0.0,3.0,22.0,49.0,62.0,8.021739130434783,8.556970207406053,0.0,0.0,4.0,16.0,23.0,0,46,46,0,0
